Date,Bullish,Neutral,Bearish,Total,S&P 500 Weekly High,S&P 500 Weekly Low,S&P 500 Weekly Close
5/31/2007,0.3333,0.2188,0.4479,1,1530.23,1510.06,1530.23
5/24/2007,0.3735,0.241,0.3855,1,1532.43,1521.9,1522.28
5/17/2007,0.3839,0.25,0.3661,1,1514.15,1500.75,1514.14
5/10/2007,0.4286,0.1429,0.4286,1,1513.8,1503.77,1512.58
5/3/2007,0.2857,0.1714,0.5429,1,1499.1,1486.13,1495.92
4/26/2007,0.3924,0.2278,0.3797,1,1496.59,1480.28,1495.42
4/19/2007,0.4694,0.2347,0.2959,1,1476.57,1466.41,1472.5
4/12/2007,0.4085,0.2113,0.3803,1,1448.39,1436.15,1438.87
4/5/2007,0.3226,0.2796,0.3978,1,1440.16,1435.08,1439.37
3/29/2007,0.4268,0.3171,0.2561,1,1426.24,1413.27,1422.53
3/22/2007,0.4388,0.2302,0.3309,1,1436.8,1429.88,1431.64
3/15/2007,0.3299,0.2165,0.4536,1,1395.73,1385.16,1392.28
3/8/2007,0.358,0.1932,0.4489,1,1407.72,1391.88,1406.18
3/1/2007,0.3663,0.2376,0.396,1,1408.17,1380.87,1406.01
2/22/2007,0.5385,0.2385,0.2231,1,1461.57,1457.29,1459.85
2/15/2007,0.4757,0.2136,0.3107,1,1457.97,1453.19,1456.81
2/8/2007,0.4615,0.2385,0.3,1,1452.99,1446.44,1450.02
2/1/2007,0.4632,0.2316,0.3053,1,1446.64,1437.9,1445.94
1/25/2007,0.3951,0.2716,0.3333,1,1440.69,1434.56,1436.31
1/18/2007,0.5778,0.1515,0.2727,1,1432.96,1424.21,1426.37
1/11/2007,0.4444,0.213,0.3426,1,1418.84,1414.84,1418.78
1/4/2007,0.4914,0.2155,0.2931,1,1421.84,1408.22,1418.34
12/28/2006,0.46,0.18,0.36,1,1427.26,1422.05,1424.73
12/21/2006,0.3908,0.1839,0.4253,1,1426.4,1423.2,1425.84
12/14/2006,0.4133,0.2067,0.38,1,1424.64,1413.16,1422.34
12/7/2006,0.3894,0.1947,0.4159,1,1415.93,1396.67,1412.9
11/30/2006,0.4022,0.1229,0.4749,1,1402.67,1394.85,1395.97
11/23/2006,0.4194,0.1613,0.4194,1,1407.89,1402.26,1406.09
11/16/2006,0.4656,0.229,0.3053,1,1401.79,1396.53,1400.08
11/9/2006,0.506,0.2289,0.2651,1,1388.92,1377.37,1378.33
11/2/2006,0.4375,0.1938,0.3688,1,1367.44,1362.21,1366.31
10/26/2006,0.5217,0.1739,0.3043,1,1386.53,1379.47,1385.15
10/19/2006,0.542,0.1603,0.2977,1,1368.09,1362.06,1366.96
10/12/2006,0.4898,0.1327,0.3776,1,1359.05,1349.94,1357.88
10/5/2006,0.3778,0.1556,0.4667,1,1351.57,1347.75,1348.56
